Port,Land region,Country/territory (and subdivision),Body of water,Coordinates,Features and notes
A Coruña,Europe,Spain,,,
Aberdeen,Europe,United Kingdom Scotland,North Sea,,
Abidjan,Africa,Côte d'Ivoire,,,
Accra,Africa,Ghana,,,
Adana,West Asia,Turkey,Mediterranean Sea Cilician Sea,,
Al Hoceima,Africa,Morocco,Mediterranean Sea Alboran Sea,,
Ålesund,Europe,Norway,North Sea,,
Alexandra,North America,United States Virginia,,,[4]
Alexandria,Africa,Egypt,Mediterranean Sea Levantine Sea,,
Alexandroupolis,Europe,Greece,Mediterranean Sea Aegean Sea,,
Algeciras,Europe,Spain,Mediterranean Sea Strait of Gibraltar,,
Algiers,Africa,Algeria,Mediterranean Sea Bay of Algiers,,
Almería,Europe,Spain,Mediterranean Sea Alboran Sea,,
Altamira,North America,Mexico Tamaulipas,Gulf of Mexico,22.383°N 97.933°W,puertoaltamira.com.mx; 3rd Mexico 23rd North America
Alvarado,North America,Mexico Veracruz,,,
Ancona,Europe,Italy,Mediterranean Sea Adriatic Sea,,
Angra do Heroísmo,Europe,Portugal,,,
Angra dos Reis,South America,Brazil Rio de Janeiro,,,
Antalya,West Asia,Turkey,Mediterranean Sea Gulf of Antalya,,
Anton Lizardo,North America,Mexico Veracruz,,,
Antonina,South America,Brazil Paraná,,,
Apalachicola,North America,United States Florida,,,[4]
Aratu,South America,Brazil Bahia,,,
Areia Branca,South America,Brazil Rio Grande do Norte,,,
Augusta,North America,United States Georgia,,,[4]
Aveiro,Europe,Portugal,,,
Avilés,Europe,Spain,Bay of Biscay,,
Azov,Europe,Russia,Black Sea Sea of Azov,,
Bahía Blanca,South America,Argentina,Bahía Blanca,,
Bainbridge,North America,United States Georgia,,,[4]
Baltimore,North America,United States Maryland,Chesapeake Bay Patapsco River,39.209°N 76.517°W,[4] Operated by Maryland Port Administration; US rank: 16[5][6]
Banana,Africa,Democratic Republic of the Congo,,,
Bangor,North America,United States Maine,,,[4]
Banjul,Africa,The Gambia,,,
Barcelona,Europe,Spain,Mediterranean Sea Balearic Sea,,
Bardia,Africa,Libya,Mediterranean Sea Libyan Sea,,
Bari,Europe,Italy,Mediterranean Sea Adriatic Sea,,
Barra Chiltepec,North America,Mexico Tabasco,,,
Barra de Tuxpan,North America,Mexico Veracruz,,,
Barra do Riacho,South America,Brazil Espírito Santo,,,
Barra dos Coqueiros,South America,Brazil Sergipe,,,
Barranquilla,South America,Colombia Atlántico,,,
Barrow-in-Furness,Europe,United Kingdom England,Irish Sea,,
Barry,Europe,United Kingdom Wales,,,
Basse-Terre,Caribbean,Guadeloupe,Caribbean Sea,,
Basseterre,Caribbean,Saint Kitts and Nevis,Caribbean Sea,,
Bath,North America,United States Maine,,,[4]
Baton Rouge,North America,United States Louisiana,Gulf of Mexico,,[4]
Batumi,West Asia,Georgia,Black Sea,,
Bayonne,Europe,France,Bay of Biscay,,
Bayonne,North America,United States New Jersey,,,
Baytown,North America,United States Texas,Gulf of Mexico,,[4]
Beaumont,North America,United States Texas,Gulf of Mexico via Neches River,30.087°N 94.088°W,[4] US rank: 4
Bécancour,North America,Canada Quebec,Saint Lawrence River,,
Beirut,West Asia,Lebanon,Mediterranean Sea Levantine Sea,,
Belém,South America,Brazil Pará,Amazon River - Pará arm,,
Belfast,Europe,United Kingdom Northern Ireland,Irish Sea,,
Belize City,Central America,Belize,Caribbean Sea,17.483°N 88.183°W,
Belledune,North America,Canada New Brunswick,Chaleur Bay,47.91°N 65.84°W,CA rank: 13
Benghazi,Africa,Libya,Mediterranean Sea Gulf of Sidra,,
Berdiansk,Europe,Ukraine,Black Sea Sea of Azov,,
Bergen,Europe,Norway,,,
Berkeley Sound,South America,Falkland Islands,,,
Bilbao,Europe,Spain,Bay of Biscay,,
Bilhorod,Europe,Ukraine,Black Sea,,
Biloxi,North America,United States Mississippi,Gulf of Mexico Biloxi Bay,30.419°N 88.887°W,US rank: 84
Bissau,Africa,Guinea-Bissau,,,
